accommodates,amenities,availability_30,bathrooms,bed_type,bedrooms,beds,calculated_host_listings_count,cancellation_policy,guests_included,has_availability,host_is_superhost,host_listings_count,instant_bookable,latitude(North),longitude(East),maximum_nights,number_of_reviews,property_type,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,room_type,,price
4,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),""Other pet(s)"",Heating,""Family/Kid Friendly"",""Fire Extinguisher"",Essentials,Shampoo}",14,1,Real Bed,1,1,1,moderate,2,t,t,1,f,22.65178522,114.219356,30,172,Apartment,10,10,10,97,10,Entire home/apt,,$89.00
2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Pets Allowed"",Gym,Breakfast,""Hot Tub"",Heating,""Smoke Detector"",Essentials,""Lock on Bedroom Door"",""24-Hour Check-in"",Hangers,Iron}",6,1,Real Bed,1,1,1,flexible,1,t,f,1,f,22.64413403,114.2191604,1125,0,Apartment,,,,,,Private room,,$49.00
3,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher""}",0,1,Real Bed,2,2,1,flexible,1,t,t,1,f,22.6435712,114.22558,1125,25,House,10,10,10,99,10,Entire home/apt,,$115.00
5,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",0,1,Real Bed,2,2,2,flexible,1,t,f,2,f,22.66061244,114.2216208,62,10,House,10,10,10,100,10,Entire home/apt,,$150.00
4,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",30,1,Real Bed,0,1,1,flexible,1,t,f,1,f,22.64513498,114.2123241,1125,1,Apartment,10,10,10,100,10,Entire home/apt,,$150.00
6,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Free Parking on Premises"",Gym,""Elevator in Building"",""Hot Tub"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer}",30,2,Real Bed,2,4,1,flexible,1,t,f,1,f,22.65512553,114.2114277,1125,0,Apartment,,,,,,Entire home/apt,,$480.00
2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",27,1,Real Bed,1,1,1,moderate,1,t,f,1,f,22.6354803,114.2222313,1125,0,House,,,,,,Private room,,$100.00
1,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",0,1,Real Bed,1,1,1,flexible,1,t,f,1,f,22.65454032,114.0259087,14,1,House,10,10,8,80,8,Private room,,$45.00
3,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Free Parking on Premises"",""Pets Allowed"",Gym,""Pets live on this property"",Dog(s),""Elevator in Building"",""Hot Tub"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",Essentials,Shampoo}",3,1,Real Bed,1,1,1,flexible,2,t,f,1,f,22.64256414,114.0101776,3,7,Apartment,10,10,10,96,10,Entire home/apt,,$80.00
3,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",21,1,Real Bed,2,2,1,strict,1,t,t,1,f,22.64885225,113.9591999,14,34,Apartment,10,10,10,96,9,Entire home/apt,,$135.00
8,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Free Parking on Premises"",""Hot Tub"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",19,4,Real Bed,5,7,1,flexible,1,t,f,1,f,22.66715869,113.9691124,45,0,House,,,,,,Entire home/apt,,$464.00
7,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),""Hot Tub"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",29,1,Real Bed,1,4,4,strict,6,t,t,5,f,22.64778988,114.0246926,1125,3,House,10,10,10,100,10,Entire home/apt,,$250.00
2,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",10,1,Real Bed,1,1,1,moderate,1,t,f,1,f,22.60218168,114.2751901,1125,9,House,10,10,9,100,10,Private room,,$40.00
2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",12,1,Real Bed,1,1,1,flexible,1,t,f,2,t,22.59880551,114.2745811,1125,0,House,,,,,,Private room,,$95.00
2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer}",0,1,Real Bed,1,1,1,strict,1,t,f,1,f,22.5994487,114.2725072,14,1,House,10,10,10,100,10,Private room,,$85.00
2,{},29,1,Real Bed,1,1,1,flexible,1,t,f,3,f,22.60100128,114.2732303,1125,3,House,10,10,10,100,10,Private room,,$42.00
10,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Gym,Washer,Dryer,Essentials,Shampoo}",30,3,Real Bed,5,6,2,strict,15,t,f,2,f,22.61955301,114.2992357,1125,0,Other,,,,,,Entire home/apt,,$900.00
2,"{TV,""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),""Indoor Fireplace"",Heating,Washer,Dryer}",30,1,Real Bed,1,1,1,strict,1,t,f,1,f,22.57918549,114.3576633,14,0,Other,,,,,,Private room,,$100.00
7,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",24,2,Real Bed,3,3,1,flexible,1,t,f,3,f,22.60106435,114.2739822,1125,9,House,10,10,9,98,10,Entire home/apt,,$163.00
1,"{TV,""Cable TV"",Internet,""Air Conditioning"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",30,1,Real Bed,1,1,1,flexible,1,t,f,1,t,22.58463923,114.3561454,1125,0,House,,,,,,Private room,,$100.00
10,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),""Other pet(s)"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",28,2,Real Bed,3,2,1,moderate,8,t,f,1,f,22.60185397,114.2767238,6,3,House,10,10,8,80,9,Entire home/apt,,$350.00
6,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer}",30,2.5,Real Bed,3,3,1,moderate,1,t,f,1,f,22.60044242,114.2759565,7,0,House,,,,,,Entire home/apt,,$900.00
6,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector""}",30,2,Real Bed,3,2,1,moderate,1,t,f,1,f,22.59999744,114.2716225,1125,2,House,8,10,4,60,6,Entire home/apt,,$300.00
10,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",17,2,Real Bed,3,3,1,flexible,1,t,f,2,f,22.60030741,114.2741944,10,1,House,10,10,10,100,10,Entire home/apt,,$399.00
6,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",18,2,Real Bed,4,4,1,strict,6,t,f,1,t,22.59893373,114.2738583,1125,5,House,10,10,10,100,10,Entire home/apt,,$345.00
2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",Breakfast,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",30,1,Real Bed,1,1,1,flexible,1,t,f,2,f,22.60236034,114.2731404,60,8,House,9,9,9,90,9,Private room,,$75.00
4,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",8,2,Real Bed,2,2,1,flexible,1,t,f,1,f,22.60271302,114.2747774,1125,0,House,,,,,,Entire home/apt,,$209.00
2,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",6,1,Real Bed,1,1,1,flexible,1,t,f,1,f,22.70041134,114.2176182,1125,2,House,10,10,10,100,10,Private room,,$150.00
4,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",0,1,Real Bed,1,2,1,flexible,1,t,f,1,f,22.70034062,114.2201184,1125,0,House,,,,,,Private room,,$200.00
7,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,Gym,Heating,Washer,Dryer}",21,2,Real Bed,3,4,7,strict,1,t,f,339,f,22.67924201,114.2142248,180,1,House,10,10,10,100,8,Entire home/apt,,$160.00
2,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",29,1,Real Bed,1,1,1,flexible,2,t,f,1,f,22.70587228,114.2236443,7,0,House,,,,,,Private room,,$45.00
2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",30,1.5,Real Bed,1,1,1,flexible,1,t,f,1,f,22.69380866,114.2176657,30,0,Condominium,,,,,,Private room,,$55.00
4,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),""Other pet(s)"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",0,1,Real Bed,1,2,1,moderate,2,t,f,1,f,22.6815733,114.2166251,10,1,Apartment,10,10,10,100,10,Entire home/apt,,$110.00
5,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher""}",22,1,Real Bed,2,3,5,strict,1,t,f,6,f,22.70198862,114.2179765,365,6,House,10,10,9,87,8,Entire home/apt,,$99.00
8,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",30,2,Real Bed,3,2,1,strict,6,t,f,1,f,22.69906049,114.2196474,7,1,House,10,10,8,86,8,Entire home/apt,,$750.00
2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),""Hot Tub"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",6,1,Real Bed,1,1,3,strict,1,t,t,3,f,22.6791642,114.1963778,7,6,House,9,9,9,87,9,Private room,,$50.00
2,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Gym,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo}",0,1,Airbed,1,1,1,flexible,1,t,f,1,f,22.69493808,114.2071467,1125,3,House,9,10,9,67,9,Private room,,$45.00
3,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly""}",6,1,Real Bed,1,1,1,flexible,2,t,f,1,f,22.68142873,114.1992984,30,65,Apartment,10,10,10,97,10,Entire home/apt,,$80.00
2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",Essentials,Shampoo}",8,1,Real Bed,1,1,1,moderate,1,t,f,1,f,22.7015423,114.2225684,1125,7,Townhouse,10,10,10,100,10,Private room,,$45.00
9,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",Breakfast,""Indoor Fireplace"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",30,2,Real Bed,2,4,1,strict,6,t,f,1,t,22.68454813,114.2006265,28,2,House,10,10,10,100,10,Entire home/apt,,$300.00
6,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",0,2.5,Real Bed,3,3,1,moderate,1,t,f,1,f,22.68410206,114.1971373,1125,1,House,10,10,10,100,10,Entire home/apt,,$400.00
2,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",23,1,Real Bed,1,1,1,flexible,2,t,t,1,f,22.69706392,114.213679,7,6,House,10,10,9,100,9,Private room,,$55.00
1,"{Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Buzzer/Wireless Intercom"",""Smoke Detector"",""Fire Extinguisher"",Essentials}",28,2,Real Bed,1,1,1,moderate,1,t,f,1,f,22.7034579,114.2113448,1125,0,Apartment,,,,,,Private room,,$55.00
4,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",0,2,Real Bed,2,2,1,moderate,1,t,f,1,f,22.68967575,114.2061205,1125,0,House,,,,,,Entire home/apt,,$230.00
8,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Hot Tub"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher""}",19,2,Real Bed,4,6,5,strict,1,t,f,6,f,22.69676587,114.2173314,365,9,House,10,10,9,93,10,Entire home/apt,,$199.00
4,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",Gym,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo}",29,2,Real Bed,2,2,2,flexible,2,t,f,2,f,22.69556238,114.2087355,200,1,Apartment,10,10,10,100,10,Entire home/apt,,$177.00
2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Breakfast,""Pets live on this property"",Dog(s),""Hot Tub"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",Essentials,Shampoo}",30,1,Real Bed,1,1,1,flexible,2,t,f,1,f,22.71065889,114.2139955,1125,1,House,10,10,10,100,10,Private room,,$67.00
2,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),""Other pet(s)"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",0,1,Real Bed,1,1,1,moderate,1,t,f,1,f,22.68717288,114.2153211,7,0,House,,,,,,Private room,,$125.00
6,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",0,2,Real Bed,1,4,1,flexible,1,t,f,1,f,22.68966994,114.2129182,1125,0,House,,,,,,Private room,,$52.00
2,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",30,1,Real Bed,1,1,1,flexible,1,t,f,1,t,22.68438882,114.2236399,1125,2,House,10,8,8,80,6,Private room,,$75.00
2,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",20,2,Real Bed,1,1,1,flexible,2,t,f,1,f,22.68278885,114.2126736,1125,6,House,10,10,10,97,10,Private room,,$50.00
3,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Free Parking on Premises"",Gym,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",27,1,Real Bed,1,1,1,moderate,2,t,f,1,f,22.68041567,114.2237413,1125,2,Apartment,10,10,10,90,9,Private room,,$70.00
6,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",23,2.5,Real Bed,3,4,2,strict,1,t,f,301,f,22.68919198,114.2167256,1125,1,House,10,10,10,100,10,Entire home/apt,,$275.00
2,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Smoke Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo}",5,1,Real Bed,0,1,1,flexible,1,t,t,1,f,22.68330538,114.2265916,21,17,Apartment,10,10,9,99,10,Entire home/apt,,$79.00
5,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",""Hot Tub"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo}",19,3,Real Bed,2,3,1,flexible,2,t,f,1,f,22.68145941,114.2238455,1125,4,House,10,10,10,100,10,Entire home/apt,,$125.00
6,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials}",1,2,Real Bed,3,3,1,strict,6,t,t,1,f,22.68610436,114.2220023,1125,14,House,10,10,9,100,10,Entire home/apt,,$230.00
4,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer}",0,2,Real Bed,2,2,1,strict,4,t,f,1,f,22.68589746,114.2123489,1125,0,House,,,,,,Entire home/apt,,$450.00
3,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",Heating,Washer,Dryer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",30,1,Real Bed,2,2,1,strict,1,t,f,1,t,22.6873252,114.215109,1125,1,House,10,10,10,100,10,Entire home/apt,,$190.00
6,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials}",0,2.5,Real Bed,3,3,1,flexible,1,t,f,1,f,22.68449568,114.2272054,4,0,House,,,,,,Entire home/apt,,$400.00
5,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher""}",29,2,Real Bed,3,4,1,moderate,1,t,f,1,f,22.68203348,114.2129431,6,0,House,,,,,,Entire home/apt,,$345.00
4,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo}",15,1,Real Bed,0,2,2,flexible,1,t,f,2,f,22.68223776,114.2264798,1125,3,Apartment,10,10,9,93,9,Entire home/apt,,$80.00
1,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher""}",24,0,Real Bed,1,1,3,moderate,1,t,f,3,t,22.67394943,114.2122661,35,20,House,10,10,9,99,10,Private room,,$89.00
2,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",""24-Hour Check-in"",Iron,""Laptop Friendly Workspace""}",24,1,Real Bed,1,1,1,moderate,1,t,f,1,f,22.67453579,114.2117033,1125,0,House,,,,,,Private room,,$70.00
2,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",27,1,Real Bed,1,1,1,strict,2,t,f,1,f,22.67286541,114.2171994,10,2,House,10,10,9,90,10,Private room,,$59.00
3,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher""}",0,1,Real Bed,1,1,1,strict,1,t,f,1,f,22.68058366,114.2257252,1125,3,Apartment,9,9,9,87,9,Entire home/apt,,$75.00
4,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",30,1,Real Bed,2,3,1,flexible,1,t,f,1,f,22.68492768,114.2219724,1125,0,House,,,,,,Entire home/apt,,$300.00
5,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Free Parking on Premises"",""Smoking Allowed"",""Pets Allowed"",Gym,""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo}",24,2,Real Bed,2,2,1,strict,0,t,f,1,t,22.69352198,114.2084273,1125,6,Condominium,8,9,8,97,9,Entire home/apt,,$99.00
2,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Fire Extinguisher""}",29,1,Real Bed,1,1,3,moderate,1,t,f,3,t,22.67361786,114.2116907,10,37,House,10,10,9,99,10,Private room,,$80.00
2,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,""Free Parking on Premises"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit""}",30,,Real Bed,1,,1,strict,1,t,f,1,f,22.66840688,114.2186487,1125,0,Apartment,,,,,,Private room,,$100.00
